TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target,Target
1,1,36,0,0.8387096774193548,0,0.24482758620689654,0.0,1,2,2
1,1,15,0,0.8064516129032258,0,0.45172413793103444,0.0,0,1,1
1,1,23,2,0.016129032258064557,3,0.1586206896551724,0.0,3,1,1
1,1,33,2,0.12903225806451613,3,0.05172413793103449,0.0,2,2,2
1,1,28,0,0.0,3,0.5586206896551724,0.0,3,1,1
1,0,39,0,0.30645161290322587,0,0.44482758620689655,0.0,0,2,2
1,0,16,1,0.7903225806451613,2,0.9689655172413792,0.0,3,1,1
1,0,11,1,0.532258064516129,1,0.26206896551724135,0.0,2,0,0
0,1,26,0,0.5967741935483871,0,0.3793103448275862,0.0,3,1,1
1,0,0,2,0.5483870967741935,1,0.16896551724137931,0.0,2,0,0
1,1,22,2,0.04838709677419356,3,0.5620689655172414,0.0,3,1,1
0,0,23,1,0.09677419354838712,3,0.3482758620689655,0.0,3,1,1
0,1,22,0,0.12903225806451613,3,0.3896551724137931,0.0,3,1,1
1,1,21,2,0.0,3,0.4275862068965517,0.0,3,1,1
1,1,10,0,0.29032258064516125,1,0.4103448275862069,0.0,3,0,0
0,0,2,1,0.016129032258064557,3,0.5103448275862069,0.0,3,0,0
0,1,8,2,0.33870967741935487,1,0.7724137931034483,0.0,1,0,0
1,0,0,1,0.6612903225806451,2,0.3310344827586207,0.0,2,0,0
1,0,8,2,0.0,3,0.5482758620689655,0.0,1,0,0
1,1,20,1,0.8548387096774193,2,0.09655172413793102,0.0,1,1,1
1,1,19,1,0.32258064516129037,0,0.2862068965517241,0.0,2,1,1
1,1,1,2,0.33870967741935487,1,0.3793103448275862,0.0,2,0,0
1,1,13,2,0.06451612903225812,3,0.4551724137931034,0.0,3,0,0
1,1,33,2,0.04838709677419356,3,0.296551724137931,0.0,3,2,2
1,0,15,2,0.7580645161290323,2,0.9172413793103449,0.0,3,1,1
1,1,24,0,0.08064516129032262,3,0.5103448275862069,0.0,3,1,1
1,1,25,1,0.30645161290322587,1,0.29310344827586204,0.0,3,1,1
1,1,19,2,0.4193548387096775,0,0.6448275862068966,0.0,3,1,1
1,1,11,1,0.14516129032258068,3,0.9413793103448276,0.0,3,0,0
1,0,24,2,0.6612903225806451,0,0.034482758620689655,0.0,2,1,1
1,1,3,0,0.1774193548387097,0,0.8517241379310345,0.0,2,0,0
1,1,27,0,0.5,1,0.5448275862068966,0.0,2,1,1
0,1,20,2,0.06451612903225812,3,0.4827586206896552,0.0,3,1,1
1,0,37,1,0.435483870967742,0,0.13793103448275862,0.0,0,2,2
1,1,39,1,0.5,1,0.1206896551724138,0.0,1,2,2
1,1,25,1,0.12903225806451613,3,0.46551724137931033,0.0,3,1,1
0,1,23,0,0.7741935483870968,0,0.27586206896551724,0.0,2,1,1
1,1,28,2,0.5967741935483871,2,0.7103448275862069,0.0,3,1,1
1,1,35,0,0.7258064516129032,2,0.3758620689655172,0.0,1,2,2
1,1,30,2,0.32258064516129037,0,0.031034482758620682,0.0,0,2,2
1,0,5,2,0.6290322580645161,0,0.36551724137931035,0.0,0,0,0
1,1,40,0,0.016129032258064557,3,0.36896551724137927,0.0,3,2,2
