TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Target
1919.1100000000001,70.0,81.0,1.0,14977.99,1,36,0,0,2
1919.1100000000001,68.0,141.0,1.0,101.25,1,15,0,0,1
1919.1100000000001,19.0,56.0,1.0,44731.469999999994,1,23,2,3,1
1919.1100000000001,26.0,25.000000000000004,1.0,29854.729999999996,1,33,2,3,2
1919.1100000000001,18.0,172.0,1.0,44731.469999999994,1,28,0,3,1
1919.1100000000001,37.0,139.0,1.0,101.25,0,39,0,0,2
1919.1100000000001,67.0,291.0,1.0,44731.469999999994,0,16,1,2,1
1919.1100000000001,51.0,86.0,1.0,29854.729999999996,0,11,1,1,0
0.26,55.0,120.0,1.0,44731.469999999994,1,26,0,0,1
1919.1100000000001,52.0,59.00000000000001,1.0,29854.729999999996,0,0,2,1,0
1919.1100000000001,21.0,173.0,1.0,44731.469999999994,1,22,2,3,1
0.26,24.0,111.0,1.0,44731.469999999994,0,23,1,3,1
0.26,26.0,123.0,1.0,44731.469999999994,1,22,0,3,1
1919.1100000000001,18.0,134.0,1.0,44731.469999999994,1,21,2,3,1
1919.1100000000001,36.0,129.0,1.0,44731.469999999994,1,10,0,1,0
0.26,19.0,158.0,1.0,44731.469999999994,0,2,1,3,0
0.26,39.0,234.0,1.0,14977.99,1,8,2,1,0
1919.1100000000001,59.0,106.0,1.0,29854.729999999996,0,0,1,2,0
1919.1100000000001,18.0,169.0,1.0,14977.99,0,8,2,3,0
1919.1100000000001,71.0,37.99999999999999,1.0,14977.99,1,20,1,2,1
1919.1100000000001,38.0,93.0,1.0,29854.729999999996,1,19,1,0,1
1919.1100000000001,39.0,120.0,1.0,29854.729999999996,1,1,2,1,0
1919.1100000000001,22.0,142.0,1.0,44731.469999999994,1,13,2,3,0
1919.1100000000001,21.0,96.0,1.0,44731.469999999994,1,33,2,3,2
1919.1100000000001,65.0,276.0,1.0,44731.469999999994,0,15,2,2,1
1919.1100000000001,23.0,158.0,1.0,44731.469999999994,1,24,0,3,1
1919.1100000000001,37.0,95.0,1.0,44731.469999999994,1,25,1,1,1
1919.1100000000001,44.0,197.0,1.0,44731.469999999994,1,19,2,0,1
1919.1100000000001,27.0,283.0,1.0,44731.469999999994,1,11,1,3,0
1919.1100000000001,59.0,20.0,1.0,29854.729999999996,0,24,2,0,1
1919.1100000000001,29.0,257.0,1.0,29854.729999999996,1,3,0,0,0
1919.1100000000001,49.0,168.00000000000003,1.0,29854.729999999996,1,27,0,1,1
0.26,22.0,150.0,1.0,44731.469999999994,1,20,2,3,1
1919.1100000000001,45.0,50.00000000000001,1.0,101.25,0,37,1,0,2
1919.1100000000001,49.0,45.0,1.0,14977.99,1,39,1,1,2
1919.1100000000001,26.0,145.0,1.0,44731.469999999994,1,25,1,3,1
0.26,66.0,90.0,1.0,29854.729999999996,1,23,0,0,1
1919.1100000000001,55.0,215.99999999999997,1.0,44731.469999999994,1,28,2,2,1
1919.1100000000001,63.0,119.0,1.0,14977.99,1,35,0,2,2
1919.1100000000001,38.0,18.999999999999996,1.0,101.25,1,30,2,0,2
1919.1100000000001,57.0,116.00000000000001,1.0,101.25,0,5,2,0,0
1919.1100000000001,19.0,117.0,1.0,44731.469999999994,1,40,0,3,2
1919.1100000000001,27.0,33.0,1.0,44731.469999999994,1,21,1,3,1
1919.1100000000001,74.0,90.0,1.0,14977.99,1,6,1,2,0
1919.1100000000001,26.0,75.0,1.0,44731.469999999994,1,3,1,3,0
0.26,19.0,105.0,1.0,44731.469999999994,1,28,2,3,1
0.26,26.0,138.0,1.0,44731.469999999994,1,10,2,3,0
1919.1100000000001,41.0,175.0,1.0,44731.469999999994,0,34,2,1,2
1919.1100000000001,69.0,121.0,1.0,14977.99,0,18,2,2,1
1919.1100000000001,51.0,264.0,1.0,14977.99,1,29,2,1,1
1919.1100000000001,67.0,145.0,1.0,101.25,1,41,1,0,2
1919.1100000000001,28.0,142.0,1.0,44731.469999999994,1,36,1,3,2
1919.1100000000001,62.0,90.0,1.0,14977.99,1,29,0,2,1
1919.1100000000001,25.0,83.0,1.0,44731.469999999994,1,23,1,3,1
1919.1100000000001,57.0,52.00000000000001,1.0,44731.469999999994,0,8,1,2,0
1919.1100000000001,68.0,61.00000000000001,1.0,14977.99,0,9,1,2,0
1919.1100000000001,48.0,28.0,1.0,14977.99,1,16,1,1,1
1919.1100000000001,23.0,51.00000000000001,1.0,44731.469999999994,1,18,1,3,1
0.26,46.0,151.99999999999997,1.0,14977.99,1,16,0,1,1
1919.1100000000001,79.0,227.0,1.0,14977.99,1,9,1,2,0
1919.1100000000001,48.0,226.0,1.0,14977.99,1,19,2,1,1
0.26,56.0,104.0,1.0,29854.729999999996,0,30,1,1,2
1919.1100000000001,50.0,123.99999999999999,1.0,101.25,1,5,2,0,0
1919.1100000000001,42.0,186.0,1.0,44731.469999999994,0,26,1,1,1
1919.1100000000001,56.0,225.0,1.0,44731.469999999994,1,16,1,2,1
0.26,25.0,128.0,1.0,44731.469999999994,1,0,1,3,0
1919.1100000000001,60.0,16.0,1.0,44731.469999999994,0,2,2,1,0
1919.1100000000001,32.0,103.0,1.0,44731.469999999994,0,16,3,1,1
1919.1100000000001,44.0,220.0,1.0,14977.99,1,1,0,1,0
1919.1100000000001,35.0,135.0,1.0,14977.99,1,9,2,1,0
1919.1100000000001,62.0,55.0,1.0,14977.99,1,4,0,2,0
1919.1100000000001,26.0,280.0,1.0,14977.99,0,17,2,3,1
1919.1100000000001,20.0,24.0,1.0,44731.469999999994,1,16,1,3,1
1919.1100000000001,37.0,51.00000000000001,1.0,14977.99,1,43,0,1,2
1919.1100000000001,44.0,69.00000000000001,1.0,101.25,1,25,1,0,1
1919.1100000000001,19.0,77.0,1.0,44731.469999999994,1,24,1,3,1
1919.1100000000001,50.0,67.0,1.0,29854.729999999996,1,39,2,0,2
1919.1100000000001,38.0,102.0,1.0,44731.469999999994,1,10,0,1,0
1919.1100000000001,58.0,80.0,1.0,14977.99,0,31,3,1,2
1919.1100000000001,63.0,87.0,1.0,14977.99,1,11,0,2,0
1919.1100000000001,49.0,170.0,1.0,14977.99,1,10,2,0,0
1919.1100000000001,34.0,157.0,1.0,44731.469999999994,1,36,2,0,2
1919.1100000000001,54.0,30.0,1.0,29854.729999999996,0,2,2,1,0
1919.1100000000001,64.0,69.00000000000001,1.0,29854.729999999996,1,23,1,0,1
0.26,48.0,115.0,1.0,29854.729999999996,2,42,0,0,2
1919.1100000000001,58.0,179.0,1.0,101.25,0,36,2,0,2
1919.1100000000001,24.0,100.00000000000001,1.0,44731.469999999994,1,18,2,3,1
